Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL
"Chargé de restauration collective - Casablanca","Attijariwafa bank est le premier groupe bancaire et financier du Maghreb et un acteur financier de référence en Afrique. En plus de l’activité bancaire, le Groupe opère, à travers des filiales spécialisées, dans tous les métiers financiers : assurance, crédit immobilier, crédit à la consommation, leasing, gestion d’actifs, intermédiation boursière, conseil, location longue durée, factoring… Attijariwafa bank est basée au Maroc et opère dans 25 pays. Avec 17 367 collaborateurs en 2016, le groupe Attijariwafa bank compte 8,1 millions de clients. Il dispose du réseau de distribution le plus large au Maroc et le plus dense en Afrique avec 3844 agences.","Bac +3 Minimum","De 1 à 3 ans","2 Boulevard Moulay Youssef 20250 Casablanca","Autre","","https://www.rekrute.com/offre-emploi-charge-de-restauration-collective-recrutement-attijariwafa-bank-casablanca-166938.html"
"Cadre Commercial Junior - Casablanca","Filiale du Groupe Robelbois, leader sur le marché du bois au Maroc depuis 1967, Comarbois vous propose aujourd’hui une gamme élargie de produits adaptés à chaque étape de votre projet de construction.","Bac +2 Minimum - Ecole de commerce - Université","De 1 à 3 ans - De 3 à 5 ans","levard Ahl Loghlam 20630 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-cadre-commercial-junior-recrutement-comarbois-casablanca-165459.html"
"Conseiller de vente (H/F) - IKEA Morocco Mall Shop - Casablanca","IKEA is a global retailer known for affordable, modernist furniture designs and unique shopping experience. Founded in 1943 by Ingvar Kamprad in Sweden, IKEA started as a mail-order business and has grown to operate 473 stores in 63 countries as of May 2024. In Morocco, IKEA Concept is brought by Al-Homaizi Ltd that operates in three IKEA Markets – Kuwait, Jordan, and Morocco.","Bac +2 Minimum","De 1 à 3 ans","Morocco Mall Casablanca 27223 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-conseiller-de-vente-hf---ikea-morocco-mall-shop-recrutement-ikea-maroc-casablanca-166937.html"
"Conseiller de vente (H/F) - IKEA Zenata - Casablanca","IKEA is a global retailer known for affordable, modernist furniture designs and unique shopping experience. Founded in 1943 by Ingvar Kamprad in Sweden, IKEA started as a mail-order business and has grown to operate 473 stores in 63 countries as of May 2024. In Morocco, IKEA Concept is brought by Al-Homaizi Ltd that operates in three IKEA Markets – Kuwait, Jordan, and Morocco.","Bac +2 Minimum","De 1 à 3 ans","Sortie Autoroute Aïn Arrouda Zenata","CDI","","https://www.rekrute.com/offre-emploi-conseiller-de-vente-hf---ikea-zenata-recrutement-ikea-maroc-casablanca-166936.html"
"Urgent pour rabat avec dimanche fix!! - cc en assurance en réception d'appel - Rabat","Sitel Group devient officiellement Foundever™.","Bac Minimum - Baccalauréat","Moins de 1 an","1100 Bd El Qods, Sidi Maârouf), Casanearshore Park 20100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-urgent-pour-rabat-avec-dimanche-fix---cc-en-assurance-en-reception-dappel-recrutement-foundever-ex-sitel-group-rabat-166935.html"
"Conseillers Technico-commerciaux pour un opérateur téléphonique (dimanche fixe) - Rabat","Sitel Group devient officiellement Foundever™.","Bac Minimum - Baccalauréat","Moins de 1 an","1100 Bd El Qods, Sidi Maârouf), Casanearshore Park 20100 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-conseillers-technico-commerciaux-pour-un-operateur-telephonique-dimanche-fixe-recrutement-foundever-ex-sitel-group-rabat-166239.html"
"Responsable de station de service - Bouskoura","DOMINO RH propose l’ensemble des services RH (intérim, recrutement, conseil, formation, portage, management de transition, évaluation) via ses filiales dédiées. Spécialisé dans chaque domaine du marché (Tertiaire, BTP, logistique, industrie), sa branche médico-sociale est leader national dans le secteur social. Actuellement présent dans 5 pays, son développement international est en forte évolution.","Bac +3 Minimum - Master - Université","De 3 à 5 ans","202, Bd Abdelmoumen N°5 Rdc 20000 Casablanca","CDI","","https://www.rekrute.com/offre-emploi-responsable-de-station-de-service-recrutement-domino-hr-morocco-bouskoura-166934.html"
"Ingénieur devOps - Technopolis","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum","De 5 à 10 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-ingenieur-devops-recrutement-sofrecom-maroc-technopolis-165549.html"
"Concepteur Développeur BI (H/F) - Casablanca","Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité, l’audace et l'esprit d'équipe au cœur de ses préoccupations et dans laquelle vous pouvez vous épanouir ? Ne perdez plus de temps, postulez et rejoignez Sofrecom !","Bac +5 et plus Minimum - Ecole d'ingénieur","De 3 à 5 ans","Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat","CDI","","https://www.rekrute.com/offre-emploi-concepteur-developpeur-bi-hf-recrutement-sofrecom-maroc-casablanca-166583.html"
"Dessinateur 3D industriel - Casablanca","Grande entreprise industrielle située à Casablanca, nous sommes rattachés à un grand groupe international situé sur plusieurs continents.","Bac +3 Minimum - BTS / DUT","De 1 à 3 ans","not found","CDI","","https://www.rekrute.com/offre-emploi-dessinateur-3d-industriel-recrutement-confidentiel-casablanca-166933.html"
