Job Title,Company,Study Level,Experience Level,Location,Contract Type,Job Details,URL,Is CDI,Is CDD,Encoded Study Level,Encoded Experience Level
"Technicien(ne) SIG - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,Débutant,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Environnement"" (""métiers"" ""de"" l'), ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicienne-sig-recrutement-novec-sale-technopolis-165719.html,1,0,1,-1.0
Technicien Résident Barrages CDD - Nador,Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +2 Minimum - BTS / DUT,De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDD,"[""Travaux"", ""Chantiers"", ""BTP"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-technicien-resident-barrages-cdd-recrutement-novec-nador-166532.html,0,1,1,4.0
"Ingénieur d'études Structure - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,Moins de 1 an - De 1 à 3 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""Conseil"", ""Etudes""]",https://www.rekrute.com/offre-emploi-ingenieur-detudes-structure-recrutement-novec-sale-technopolis-166681.html,1,0,4,2.0
"Ingénieur Energéticien / Thermicien - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +5 et plus Minimum - Ecole d'ingénieur,De 1 à 3 ans - De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""BTP"", ""Génie"" ""Civil""]",https://www.rekrute.com/offre-emploi-ingenieur-energeticien-thermicien-recrutement-novec-sale-technopolis-166742.html,1,0,4,2.0
"Assistante du Département Transport - Salé, Technopolis",Novec est le fruit de la fusion entre les sociétés Ingéma et Scet-scom,Bac +3 Minimum - BTS / DUT,De 1 à 3 ans - De 3 à 5 ans,"Park Technopolis , imm. Novec Salé (Technopolis)",CDI,"[""Assistanat"" ""de"" ""Direction"", ""Services"" ""Généraux"", ""Conseil"", ""Etudes""]",https://www.rekrute.com/offre-emploi-assistante-du-departement-transport-recrutement-novec-sale-technopolis-166465.html,1,0,2,2.0
Conseillers commerciaux Confirmés H/F - Télévente FAI - Rabat,Euro-Information,Bac +3 Minimum - Université,De 1 à 3 ans,"Technopolis Rabat Shore, Batiment B3 Salé 11103 Casablanca",CDI,"[""Call"" ""Centers"", ""Centre"" d'""appel""]",https://www.rekrute.com/offre-emploi-conseillers-commerciaux-confirmes-hf---televente-fai-recrutement-euro-information-direct-service-rabat-165810.html,1,0,2,2.0
Contrôleur de Gestion – Profil avec expérience en Audit - Casablanca,Depuis 30 ans,Bac +4 Minimum - Master - Université,De 1 à 3 ans - De 3 à 5 ans,"26 Bd Al Massira Al Khadra, Casablanca 20100 20100 Casablanca",CDI,"[""Audit"", ""Conseil"", ""Comptabilité"", ""Audit"", ""Distribution""]",https://www.rekrute.com/offre-emploi-controleur-de-gestion-profil-avec-experience-en-audit-recrutement-fgt-casablanca-166850.html,1,0,3,2.0
Acheteur IT HARDWARE H/F - Tanger,Présent depuis 1997 au Maroc,Bac +5 et plus Minimum,De 3 à 5 ans - De 5 à 10 ans,"Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca",CDI,"[""Achats"", ""Supply"" ""Chain"", ""Autres"" ""Industries""]",https://www.rekrute.com/offre-emploi-acheteur-it-hardware-hf-recrutement-manpower-agences-tanger-166854.html,1,0,4,4.0
Architecte Cloud (H/F) - Casablanca,Vous êtes en quête de nouveaux challenges et vous souhaitez donner un nouvel élan à votre carrière ? Vous cherchez à rejoindre une entreprise à taille humaine qui place l’agilité,Bac +5 et plus Minimum,De 5 à 10 ans,"Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida, Rabat-Salé-Zemmour-Zaër, Maroc 11 100 Rabat",CDI,"[""Multimédia"", ""Internet"", ""Informatique""]",https://www.rekrute.com/offre-emploi-architecte-cloud-hf-recrutement-sofrecom-maroc-casablanca-166732.html,1,0,4,7.5
Senior Big Data Engineer - Casablanca,Leyton Morocco is a leading force,Bac +5 et plus,De 3 à 5 ans,Parc Casanearshore Sidi Maârouf Shore 14 20 100 Casablanca,CDI,"[""Informatique"", ""Electronique"", ""Informatique""]",https://www.rekrute.com/offre-emploi-senior-big-data-engineer-recrutement-leyton-casablanca-165965.html,1,0,4,4.0
Avis aux jeunes diplômés. intégrez unifitel et bénéficiez d'un tremplin vers les métiers financiers à distance - Casablanca,Unknown,Bac +2 Minimum - BTS / DUT,Débutant,"Espace Masurel Lot 5, angle Boulevard Yaacoub El Mansour et rue Socrate 20100 Casablanca",CDI,"[""Administration"" ""des"" ""ventes"", ""SAV"", ""Autres"" ""services""]",https://www.rekrute.com/offre-emploi-avis-aux-jeunes-diplomes.-integrez-unifitel-et-beneficiez-dun-tremplin-vers-les-metiers-financiers-a-distance-recrutement-unifitel-casablanca-165555.html,1,0,1,-1.0
Assistante Exécutive - Directoire - Rabat,L'Hôpital Universitaire International de Rabat (HUIR),Bac +3 Minimum - Formation professionnelle,De 5 à 10 ans - De 10 à 20 ans,"Hôpital Universitaire et International de Rabat – Campus de l’UIR, Parc Technopolis Rabat-Shore, Rocade Rabat-Salé 11 100 Rabat",CDI,"[""Assistanat"" ""de"" ""Direction"", ""Services"" ""Généraux"", ""Pharmacie"", ""Santé""]",https://www.rekrute.com/offre-emploi-assistante-executive---directoire-recrutement-huir---lhopital-universitaire-international-de-rabat-rabat-166390.html,1,0,2,7.5
Chargé(e) de Communication Interne - Casablanca,INNOVX est un groupe multi-sectoriel qui conçoit,Bac +4 Minimum,De 3 à 5 ans,Casablanca Casablanca,CDI,"[""Communication"", ""Publicité"", ""RP"", ""Agriculture"", ""Environnement"", ""Energie""]",https://www.rekrute.com/offre-emploi-chargee-de-communication-interne-recrutement-innovx-casablanca-166853.html,1,0,3,4.0
Conseiller Commercial Senior Télévente - Marrakech,Fondée en 2012 au Maroc,Bac +2 Minimum - BTS / DUT,De 3 à 5 ans,148 angle route Ouled Ziane et rue Sikka Ihadidiya. 20250 Casablanca,CDI,"[""Call"" ""Centers"", ""Centre"" d'""appel""]",https://www.rekrute.com/offre-emploi-conseiller-commercial-senior-televente-recrutement-xcdm-maroc-marrakech-166852.html,1,0,1,4.0
Développeur backend .NET Core (H/F) - Casablanca,Pour l'un de nos projets,Bac +2 Minimum,Débutant,8 Rue adi el haraki Ex calavon quartier des hopitaux,CDI,"[""Informatique"", ""Electronique"", ""Informatique""]",https://www.rekrute.com/offre-emploi-developpeur-backend-.net-core-hf-recrutement-oceane-consulting-it-maroc-casablanca-166606.html,1,0,1,-1.0
Chargé de clientèle en agence TANGER - Tanger,Présent depuis 1997 au Maroc,Bac +2 Minimum - Université,Moins de 1 an,"Tour Végétale JASMIN | 1, rue des Plateformes - Lot N°123 20036 Casablanca",Autre,"[""Commercial"", ""Vente"", ""Export"", ""Communication"", ""Evénementiel""]",https://www.rekrute.com/offre-emploi-charge-de-clientele-en-agence-tanger-recrutement-manpower-agences-tanger-166849.html,0,0,1,0.5
Coordinateur(ice) Expérience Client LSM - Casablanca - Marrakech,McDonald’s Maroc est une entreprise 100% marocaine. Notre mission est d’offrir une expérience agréable,Bac +4 Minimum - Ecole de commerce,De 5 à 10 ans,"Boulevard Sidi Mohamed Ben Abdellah, Marina, Tour Crystal 3, 5ème étage 20050 Casablanca",CDI,"[""Marketing"", ""Agence"" ""pub"", ""Marketing"" ""Direct"", ""Hôtellerie"", ""Restauration""]",https://www.rekrute.com/offre-emploi-coordinateurice-experience-client-lsm-recrutement-mcdonalds-maroc-casablanca---marrakech-166848.html,1,0,3,7.5
Risk Manager - Tanger,Grande entreprise basée à Tanger recrute dans le cadre de son développement un Risk Manager (H/F).,Bac +5 et plus Minimum - Master,De 5 à 10 ans,not found,CDI,"[""Audit"", ""Conseil"", ""Conseil"", ""Etudes""]",https://www.rekrute.com/offre-emploi-risk-manager-recrutement-confidentiel-tanger-166244.html,1,0,4,7.5
Business Development Manager - Casablanca,OLENA,Bac +4 Minimum,De 3 à 5 ans,"Quartier Racine, 18 rue de la Rive. 20000 Casablanca",CDI,"[""Commercial"", ""Vente"", ""Export"", ""Distribution"", ""Cosmétique"", ""Parfumerie"", ""Luxe""]",https://www.rekrute.com/offre-emploi-business-development-manager-recrutement-olena-casablanca-166343.html,1,0,3,4.0
Responsable Facturation - Fès,Le Groupe AKDITAL est le leader de la santé privée au Maroc. Avec plus de 15% de la capacité litière globale du royaume,Bac +2 Minimum - BTS / DUT,De 1 à 3 ans,Unknown,CDI,"[""Gestion"", ""Comptabilité"", ""Finance"", ""Pharmacie"", ""Santé""]",https://www.rekrute.com/offre-emploi-responsable-facturation-recrutement-akdital-fes-166847.html,1,0,1,2.0
Contrôleur Social - Casablanca,Leader national opérant dans FMCG,Bac +5 et plus Minimum - Master,De 3 à 5 ans - De 5 à 10 ans,not found,CDI,"[""Gestion"", ""Comptabilité"", ""Finance"", ""Agroalimentaire"", ""Distribution""]",https://www.rekrute.com/offre-emploi-controleur-social-recrutement-confidentiel-casablanca-166664.html,1,0,4,4.0
Responsable Marketing - El Jadida,Notre société,Bac +4 Minimum - Master - Ecole de commerce,De 1 à 3 ans,not found,Autre,"[""Marketing"", ""Automobile"", ""Motos"", ""Cycles"", ""Autres"" ""services""]",https://www.rekrute.com/offre-emploi-responsable-marketing-recrutement-confidentiel-el-jadida-166846.html,0,0,3,2.0
Manager Logistique - Casablanca,Leader national opérant dans FMCG,Bac +5 et plus Minimum - Master,De 3 à 5 ans - De 5 à 10 ans,not found,CDI,"[""Commercial"", ""Vente"", ""Export"", ""Agroalimentaire"", ""Distribution""]",https://www.rekrute.com/offre-emploi-manager-logistique-recrutement-confidentiel-casablanca-166454.html,1,0,4,4.0
Infirmier/Infirmière anesthésiste - Fès,Le Groupe AKDITAL est le leader de la santé privée au Maroc. Avec plus de 15% de la capacité litière globale du royaume,Bac +3 Minimum - Formation spécialisée,De 1 à 3 ans,Unknown,CDI,"[""Médical"", ""Paramédical"", ""Pharmacie"", ""Santé""]",https://www.rekrute.com/offre-emploi-infirmierinfirmiere-anesthesiste-recrutement-akdital-fes-166845.html,1,0,2,2.0
Project Specialist - Casablanca,The EBRD (European Bank for Reconstruction and Development) is a unique international financial institution that supports projects in 29 countries from central Europe to central Asia. Investing primarily in private sector clients whose needs cannot be fully met by the market,Bac +5 et plus Minimum,De 1 à 3 ans - De 3 à 5 ans,--- Casablanca,CDI,"[""Gestion"" ""projet"", ""Etudes"", R&""D"", ""Banque"", ""Finance""]",https://www.rekrute.com/offre-emploi-project-specialist-recrutement-ebrd-casablanca-166844.html,1,0,4,2.0
Chargé(e) d'administration - Rabat,Le Groupe Hit Radio,Bac +3 Minimum - Université,Moins de 1 an,10170 Rabat,CDI,"[""Gestion"", ""Comptabilité"", ""Finance"", ""Audiovisuel"", ""Internet"", ""Multimédia""]",https://www.rekrute.com/offre-emploi-chargee-dadministration-recrutement-hit-radio-rabat-166843.html,1,0,2,0.5
